,제목,가수,가사,장르
48,보금자리,임영웅,"그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
당신만 있으면 돼",성인가요/트로트
49,사랑인가 봐,멜로망스,"너와 함께 하고 싶은 일들을
상상하는 게
요즘 내 일상이 되고
너의 즐거워하는 모습을 보고 있으면
자연스레 따라 웃고 있는 걸
너의 행동에 설레어하고 뒤척이다가
지새운 밤이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
점점 너와 하고 싶은 일들 생각하면서
하룰 보낸 날이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
너의 행복해하는 모습을 보고 있으면
나도 모르게 따라 웃는데
이 정도면 알아줄 만하잖아
너도 용기 낼만 하잖아
나만 이런 게 아니라면
우리 만나볼 만하잖아
아무래도 사랑인가 봐","발라드, 국내드라마"
50,Dynamite,방탄소년단,"Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shoes on get up in the morn
Cup of milk let’s rock and roll
King Kong kick the drum
rolling on like a rolling stone
Sing song when I’m walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload I’m into
that I’m good to go
I'm diamond you know I glow up
Hey so let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk
just move like we off the wall
Day or night the sky’s alight
So we dance to the break of dawn
Ladies and gentlemen
I got the medicine
so you should keep ya
eyes on the ball huh
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload
I’m into that I’m good to go
I'm diamond you know I glow up
Let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah",댄스
51,KNOCK,이채연,"Knock Knock Knock Knock Knock Knock
Knock Knock Knock Knock
Knock Knock Knock
Knocking on your heart
Knock Knock Knock Knock Knock Knock
Knock Knock Knock Knock
Knock Knock Knock
Knocking on your heart
가만가만히 들여다보는 건
마음에 안 들어 (nope)
까만 밤하늘 수놓은 별처럼
콕 콕 마음에 박혀
세상에 눈을 뜬 후로
Hard for me to control
끌리는 마음이 So I feel special
눈이 마주치면
Come a little closer
Come closer come closer
이제 깨어나
Knock Knock Knock Knock Knock Knock
Knock Knock Knock Knock
Knock Knock Knock
Knocking on your heart
Knock Knock Knock Knock Knock Knock
Knock Knock Knock Knock
Knock Knock Knock
Knocking on your heart
날 위로 더 위로 올려 이 순간
Come over the moonlight
Starry-eyed, Get me high 바로 오늘 밤
Knock Knock Knocking on your heart
매일 주시하며 살지 마 굳이 어때
많고 적고 별 차이 알아도 No 상관없지
솔직히 살아도 돼 그래 자연스럽게
똑똑하면 잘해봐
세상에 눈을 뜬 후로
Hard for me to control
끌리는 마음이 So I feel special
눈이 마주치면
Come a little closer
Come closer come closer
이제 깨어나
Knock Knock Knock Knock Knock Knock
Knock Knock Knock Knock
Knock Knock Knock
Knocking on your heart
Knock Knock Knock Knock Knock Knock
Knock Knock Knock Knock
Knock Knock Knock
Knocking on your heart
날 위로 더 위로 올려 이 순간
Come over the moonlight
Starry-eyed, Get me high 바로 오늘 밤
Knock Knock Knocking on your heart
더 이상 기다리게는 하지 마
두드리면 깨질 걸 널 아니까
이 밤이 더디게 더디게 가
Come a little closer
La la la la la la
La la la la la la la la la
All I wanna do
Knock Knock Knock Knock Knock Knock
Knock Knock Knock Knock
Knock Knock Knock
Knocking on your heart
날 위로 더 위로 올려 이 순간
Come over the moonlight
Starry-eyed, Get me high 바로 오늘 밤
Knock Knock Knocking on your heart
Knock Knock Knock Knock Knock Knock
Knock Knock",댄스
52,Love Me Like This,NMIXX,"Love me like this Love me like that
Love me like this and
I love you right back
뛰는 심장 소릴 따라가
커지는 울림 Oh my oh my god
Oh yeah
Let me hear you say yeah (Uh uh)
숨겨놨던 맘속 deep blue sea
꺼내 펼쳐봐 느껴지는 feels
Oh yeah
Don’t run away yeah (Now, now)
철로 만든 heart 예쁜 꽃을 피워봐
사막 속에 비를 내려봐 (Uh uh)
If you wanna be my lover
닫힌 맘을 다 깨뜨려
If you wanna wanna
wanna wanna wanna
Show me your way
어느 틈에 자라난 이끌림
점을 이어 Oh baby
맘속 fireworks 외쳐 higher hopes
눈을 맞춰 It’s so easy you just gotta
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this and
I love you right back
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this and
I love you right back
Oh 큰 파도가 시작될 걸 (Ride now)
Buckle up, ready, set, go (Let’s go)
이 감정의 폭을 explore
조금 더 거침없이 빠져 이 fever
그 순간 가슴속에 넘쳐난 flower
이미 움트고 있던 숨
고장 난 네 맘속의 bloom
Show me your way
어느 틈에 연결된 piece of love
선을 따라가 baby
번진 fireworks 펼친 higher hopes
손을 뻗어 It’s so easy you just gotta
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this and
I love you right back
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this and
I love you right back
Can you see the paradise?
감각들을 깨워봐
끝내 찾은 missing piece
심장 속을 밝힌 peace
나를 향해 켜진 love
결국 너를 향할 love
너와 내 꿈이 이어져 커져갈 time
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this and
I love you right back
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this and
I love you right back
Love me like this Love me like that
Love me like this Love me like that
Love me like this Love me like that
Love me like this and
I love you right back",댄스
53,너의 모든 순간,성시경,"이윽고 내가 한눈에
너를 알아봤을 때
모든 건 분명 달라지고 있었어
내 세상은 널 알기 전과 후로 나뉘어
니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰
거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다 보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛
또 지금의 너
거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
니 모든 순간 나였으면","발라드, 국내드라마"
54,Thirsty,aespa,"Yeah Yeah
난 또 너를 두드리고 있어
반짝이는 수면 위를 매일
잔잔하게 일렁이는 Sign
날 (봐)
알 수 없는 너를 가만 보면
깊은 그 눈빛이 궁금해지면
괜히 거친 바람처럼 난
너를 헤집어
알아 하루 종일
넌 비춰 빠짐없이
내 어떤 날씨까지 Oh
맑게 개다 흐려도 Ah-Ah
웃는 너는 Ah-Ah
So tell me,
What you wanna wanna do boy?
너는 닿을수록 Thirsty
분명 가득한데 Thirsty
Yeah, I got you boy
Sip sip sipping all night
더 Deep deep deep in all night
얕은 수면보다 훨씬
짙은 너의 맘 끝까지
알고 싶어져
Sip sip sipping all night
더 Deep deep deep in all night
맘이 커질수록 Thirsty
Tell me, Tell me
느껴 너의 눈빛 향기
Feel so good
Can't nobody ever stop me
순간 세상이 멈춘 것 같이
머리에 Ding
물결처럼 어질어질
넌 어때 웃지 말고
Uh 가만 보지 말고
인정해 봐 Real
지금 Boom boom trigger
I 자꾸 심술 나 왠지 I
부푼 맘이 난 가끔 Ah-Ah
미울 만큼 Ah-Ah
So tell me,
What you wanna wanna do boy?
너는 닿을수록 Thirsty
분명 가득한데 Thirsty
Yeah, I got you boy
Sip sip sipping all night
더 Deep deep deep in all night
얕은 수면보다 훨씬
짙은 너의 맘 끝까지
알고 싶어져
Sip sip sipping all night
더 Deep deep deep in all night
맘이 커질수록 Thirsty
조급한 생각은 No No
이건 또 너를 위한 감정인 거야
Sip sip sip sip
그래서 난
Sip sip sip
So thirsty thirsty thirsty
Talking ‘bout it, Talking ‘bout it
솔직하게 전부
수면 깊이 감춰 놓은
네 맘으로 적셔 날
네 눈 속에 내가 좋아
그래 계속 욕심이 나
당연한 걸 너도 아마
Don’t cha Don’t cha Don’t cha
Don't you baby
괜한 투정처럼 Thirsty
아니 사실인 걸 Thirsty
Yeah, I got you boy
Sip sip sipping all night
더 Deep deep deep in all night
여린 물결보다 고이
너의 맘을 어루만질
준비돼 있어
Sip sip sipping all night
더 Deep deep deep in all night
그래 너만 보면 Thirsty
Woah (I'll make you)
Woah (I'll make you)
Woah
Woah Baby
그래 너에게만 Thirsty",R&B/Soul
55,사랑하기 싫어,지아,"숨을 내쉴 때마다
눈을 감을 때마다
니 생각이 나 먹먹해진다
하루 열두 시간이라면
스물네 시간의 반이면
외로움마저 반으로 줄 텐데
거지 같은 미련이 남아
추억을 주워 담아
사랑하고 싶어 하다가
주고 싶어 주다가
텅 빈 이내 맘
이별하기 싫어 울다가
받기 싫어 버텨보다가
결국 이렇게 나 혼자
거지 같은 미련이 남아
추억을 주워 담아
사랑하고 싶어 하다가
주고 싶어 주다가
텅 빈 이내 맘
이별하기 싫어 울다가
받기 싫어 버텨보다가
결국 이렇게 나 혼자
기나긴 시간이 지난 지금까지
못 잊어 그리워해
눈물 내일이면 그칠까
사랑하고 싶어 하다가
주고 싶어 주다가
텅 빈 이내 맘
이별하기 싫어 울다가
받기 싫어 버텨보다가
셀 수 없게 난 보기 싫게 난
결국 이렇게 나 혼자",발라드
56,Nxde,(여자)아이들,"Why you think that ’bout nude
’Cause your view’s so rude
Think outside the box
Then you’ll like it
Hello my name is 예삐 예삐요
말투는 멍청한 듯 몸매는 섹시 섹시요
그럼 다이아 박힌 티아라 하나에
내가 퍽이나 웃게 퍽이나 웃게
뒤틀려버린 로렐라이
Don’t need no man
철학에 미친 독서광
Self-made woman
싸가지없는
이 Story에 무지 황당한
야유하는 관객들
You tricked me you’re a liar
아 발가벗겨져 버린 Movie star
아 별빛이 깨져버린 밤
꼴이 볼품없대도 망가진다 해도
다신 사랑받지 못한대도
Yes I’m a nude
Nude 따따랏따라
Yes I’m a nude
Nude I don’t give a love
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
(Ouch!)
실례합니다 여기 계신 모두
야한 작품을 기대하셨다면
Oh I’m sorry 그딴 건 없어요
환불은 저쪽 대중은 흥미 없는 정보
그 팝콘을 던져도 덤덤
행복과 반비례 평점
But my 정점 멋대로 낸
편견은 토할 거 같지
아 발가벗겨져 버린 Movie star
아 더 부끄러울 게 없는 밤
꼴이 볼품없대도 어쩌면 네게도
다신 사랑받지 못한대도
Yes I’m a nude
Nude 따따랏따라
Yes I’m a nude
Nude I don’t give a love
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
Baby how do I look, how do I look
아리따운 날 입고 따따랏따라
Um ha um ha um ha um
Yes I'm a nude
Yes I'm a nude
Now I draw a luxury nude
Why you think that ’bout nude
’Cause your view’s so rude
Think outside the box
까고 말해
아리따운 나의 누드
아름다운 나의 누드
I’m born nude
변태는 너야
Rude
Nude",댄스
57,사랑하지 않아서 그랬어,임한별,"사랑하지 않기로 했어
나만 생각하기로 했어
니 눈물을 못 본 척 좀 해야겠어
나쁜 사람 되기 싫어서
구차해지는 변명들로
괜한 기대하게 만들기 싫었어
마지막까지 상처 주긴 싫은데
난 여전히 너를 배려해 줄
자신이 없는걸
사랑하지 않았어 미안해
참 많이 고마웠어
미련 갖는 일 그런 일 없을 거야 정말
매번 져주려 했던 너에게
기어코 이겨보려 애썼던 순간도
너를 필요 없어 했던 밤도
사랑하지 않아서 그랬어
마지막으로 안아주면 안 될까
말하는 니 얼굴
떳떳하게 볼 수가 없는걸
사랑하지 않았어 미안해
참 많이 고마웠어
미련 갖는 일 그런 일 없을 거야 정말
매번 져주려 했던 너에게
기어코 이겨보려 애썼던 순간도
너를 필요 없어 했던 밤도
사랑하지 않아서 그랬어
넌 모르지 내 맘이 어떤지
계속 사랑해보려 애를 썼어
내가 다 미안해
도망치는 내가 밉겠지만
나는 후련한 거 같아 여기까지만 해
기다리면은 안 돼 잘 들어
날 미워해야만 해
계속 울어도 난 멀리 떠날 거야 제발
니가 괴롭든 말든 꺼놨던 전화도
아픈 니가 귀찮았던 밤도
하다못해 지금 내 말투도
사랑하지 않아서 그랬어",발라드
58,봄날,방탄소년단,"보고 싶다
이렇게 말하니까 더 보고 싶다
너희 사진을 보고 있어도
보고 싶다
너무 야속한 시간
나는 우리가 밉다
이젠 얼굴 한번 보는 것 조차
힘들어진 우리가
여긴 온통 겨울 뿐이야
8월에도 겨울이 와
마음은 시간을 달려가네
홀로 남은 설국열차
니 손 잡고 지구 반대편까지 가
겨울을 끝내고파
그리움들이 얼마나
눈처럼 내려야 그 봄날이 올까
Friend
허공을 떠도는
작은 먼지처럼 작은 먼지처럼
날리는 눈이 나라면
조금 더 빨리
네게 닿을 수 있을 텐데
눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까 널 보게 될까
만나게 될까 만나게 될까
추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘
머물러줘
니가 변한 건지
니가 변한 건지
아니면 내가 변한 건지
내가 변한 건지
이 순간 흐르는 시간조차 미워
우리가 변한 거지 뭐
모두가 그런 거지 뭐
그래 밉다 니가 넌 떠났지만
단 하루도 너를
잊은 적이 없었지 난
솔직히 보고 싶은데
이만 너를 지울게
그게 널 원망하기보단
덜 아프니까
시린 널 불어내 본다
연기처럼 하얀 연기처럼
말로는 지운다 해도
사실 난 아직 널 보내지 못하는데
눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까 널 보게 될까
만나게 될까 만나게 될까
You know it all
You're my best friend
아침은 다시 올 거야
어떤 어둠도 어떤 계절도
영원할 순 없으니까
벚꽃이 피나봐요
이 겨울도 끝이 나요
보고 싶다 보고 싶다
보고 싶다 보고 싶다
조금만 기다리면
며칠 밤만 더 새우면
만나러 갈게 만나러 갈게
데리러 갈게 데리러 갈게
추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘
머물러줘",랩/힙합
59,Butter,방탄소년단,"Smooth like butter
Like a criminal undercover
Gon’ pop like trouble
Breakin’ into your heart like that

Cool shade stunner
Yeah I owe it all to my mother
Hot like summer
Yeah I’m makin’ you sweat like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like butter
Pull you in like no other
Don’t need no Usher
To remind me you got it bad

Ain’t no other
That can sweep you up like a robber
Straight up, I got ya
Makin’ you fall like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Get it, let it roll
Get it, let it roll

No ice on my wrist
I'm that n-ice guy
Got that right body and that right mind
Rollin' up to party got the right vibe
Smooth like butter
Hate us love us

Fresh boy pull up and we lay low
All the playas get movin’ when the bass low
Got ARMY right behind us when we say so
Let's go

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like (butter)
Cool shade (stunner)
And you know we don't stop

Hot like (summer)
Ain’t no (bummer)
You be like oh my god

We gon’ make you rock and you say (yeah)
We gon’ make you bounce and you say (yeah)

Hotter?
Sweeter!
Cooler?
Butter!

Get it, let it roll",댄스
60,TOMBOY,(여자)아이들,"Look at you 넌 못 감당해 날
Ya took off hook
기분은 Coke like brrr
Look at my toe 나의 Ex 이름 Tattoo
I got to drink up now 네가 싫다 해도 좋아

Why are you cranky, boy?
뭘 그리 찡그려 너
Do you want a blond barbie doll?
It’s not here, I’m not a doll

미친 연이라 말해 What’s the loss to me ya
사정없이 까보라고 You’ll lose to me ya
사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지
너의 썩은 내 나는 향수나 뿌릴 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

I don’t wanna play this ping pong
I would rather film a Tik Tok
Your mom raised you as a prince
But this is queendom, right?
I like dancing, I love ma friends
Sometimes we swear without cigarettes
I like to eh on drinking whiskey
I won’t change it, what the hell?

미친 척이라 말해 What’s the loss to me ya
사정없이 씹으라고 You’re lost to me ya
사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지
너의 하찮은 말에 미소나 지을 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

Said you get it?
You get the song right, you’ll get what I mean “Tomboy”

La la la la la la la la la
La la la la la la la la la

La la la la la la la la la
La la la la la la la la la
(Three, two, one)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me I-DLE)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me loving Tomboy)",록/메탈
61,Permission to Dance,방탄소년단,"It’s the thought of being young
When your heart’s just like a drum
Beating louder with no way to guard it
When it all seems like it’s wrong
Just sing along to Elton John
And to that feeling, we’re just getting started

When the nights get colder
And the rhythms got you falling behind
Just dream about that moment
When you look yourself right in the eye, eye, eye
Then you say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

There’s always something that’s standing in the way
But if you don’t let it faze ya
You’ll know just how to break
Just keep the right vibe yeah
‘Cause there’s no looking back
There ain’t no one to prove
We don’t got this on lock yeah

The wait is over
The time is now so let’s do it right
Yeah we’ll keep going
And stay up until we see the sunrise
And we’ll say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na
No, we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na

Well let me show ya
That we can keep the fire alive
‘Cause it’s not over
Till it’s over say it one more time
Say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance",댄스
62,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),"건물 사이에 피어난 장미
제발 살아남아 줬으면
꺾이지 마 잘 자라줘
온몸을 덮고 있는 가시
얼마나 힘이 들었으면
견뎌내줘서 고마워
예쁘지 않은 꽃은 다들
골라내고 잘라내
예쁘면 또 예쁜 대로
꺾어 언젠가는 시들고
왜 내버려 두지를 못해
그냥 가던 길 좀 가
어렵게 나왔잖아
악착같이 살잖아 hey
나는 건물 사이에 피어난 장미
삭막한 이 도시가
아름답게 물들 때까지
고갤 들고 버틸게 끝까지
모두가 내 향길 맡고 취해
웃을 때까지
Oh oh oh oh
No I'm not goin' down
I'll be alright
Yeh I'm only goin' up
and Imma be alright
Hey
내가 원해서 여기서 나왔냐고
원망해 봐도 안 달라져 하나도
지나고 돌아보면
앞만 보던 내가 보여
그때그때 잘 견뎌냈다고
생각 안 해 그냥 날 믿었다고
거센 바람이 불어와
내 살을 베려 해도
자꾸 벌레들이 나를
괴롭히고 파고들어도
No 언제나 굴하지 않고
쓰러지지 않아 난
어렵게 나왔잖아
악착같이 살잖아
나는 건물 사이에 피어난 장미
삭막한 이 도시가
아름답게 물들 때까지
고갤 들고 버틸게 끝까지
모두가 내 향길 맡고
취해 웃을 때까지
Keep it up
Oh oh oh oh
It's a song for you and I
Say that we're alive
Celebrate it now
나는 건물 사이에 피어난 장미
삭막한 이 도시가
아름답게 물들 때까지
고갤 들고 버틸게 끝까지
모두가 내 향길 맡고
취해 웃을 때까지
Keep it up
Oh oh oh oh
No I'm not goin' down
I'll be alright
Yeh I'm only goin' up
and Imma be alright
Hey
Keep it up
Oh oh oh oh
No I'm not goin' down
I'll be alright
Yeh I'm growin' up
and Imma be alright
Hey",댄스
63,해요 (2022),#안녕,"그녀와 나는요 그땐 참 어렸어요
많이 사랑했고 때론 많이 다퉜었죠
지금 생각하면 모두 내 잘못이죠
마지막 그날도 그녀는 울었어
나는 그녈 잡지 못했죠
지금까지도 너무 후회가 돼요
그 후로 누굴 사랑한 적 없어 아직은
그녀와 나는요
언젠가 만날 거죠
변해버린 모습 변해버린 시간 속에
하지만 괜찮아 내 눈엔 아름답던
예전 모습 그대로 일 거예요
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
언제라도
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
내가 매일 기다린다고","발라드, 인디음악"
64,STAY,"The Kid LAROI, Justin Bieber","I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey Oh
I get drunk wake up
I'm wasted still
I realize the time
that I wasted here
I feel like you can't
feel the way I feel
Oh I'll be fucked up
if you can't be right here
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh I'll be fucked up
if you can't be right here
I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
When I'm away from you
I miss your touch Ooh
You're the reason
I believe in love Ooh
It's been difficult
for me to trust Ooh
And I'm afraid
that I'ma fuck it up Ooh
Ain't no way
that I can leave you stranded
'Cause you ain't ever left me
empty-handed
And you know that I know
that I can't live without you
So baby stay
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
I'll be fucked up
if you can't be right here
I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
I do the same thing
I told you that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
Woah-oh
I need you to stay
need you to stay hey",POP
65,That's Hilarious,Charlie Puth,"Look how all the tables
Look how all the tables have turned
Guess you're finally realizing
how bad you messed it up
Girl you're only makin'
Girl you're only makin' it worse
When you called
like you always do
when you want someone
You took away a year of my fuckin' life
And I can't get it back no more
So when I see those tears
Comin' out your eyes
I hope it’s me they're for
You didn't love when you had me
But now you need me so badly
You can't be serious Ha ha ha
That's hilarious Ha ha ha ha ha
Thinkin' I would still want you
After the things you put me through
Yeah you're delirious Ha ha ha
That's hilarious Ha ha ha ha ha
Now you put the blame in
Now you put the blame in reverse
Tryna make me feel guilty
for everything you've done
You're another lesson
You're another lesson
You're just another lesson I learned
Don't give your heart to a girl
who's still got a broken one
You took away a year of my fuckin' life
And I can't get it back no more
So when I see those tears
When I see those tears
Comin' out your eyes
I hope it’s me they're for
You didn't love when you had me
But now you need me so badly
You can't be serious Ha ha ha
That's hilarious Ha ha ha ha ha
Thinkin' I would still want you
After the things you put me through
Yeah you're delirious
Ha ha ha you're delirious
That's hilarious
Ha ha ha ha ha that's hilarious
You didn't love when you had me
But now you need me so badly
You can't be serious
You can't be serious Ha ha ha
That's hilarious That's hilarious
Ha ha ha ha ha
Thinkin' I would still want you
Oh no oh oh
After the things you put me through
Yeah you're delirious
You're delirious Ha ha ha
That's hilarious That's hilarious
Ha ha ha ha ha
Ha ha ha
Ha ha ha ha ha",POP
